open,high,low,close,volume
178.05,178.33,177.12,177.7,3800.0
177.78,177.89,177.67,177.7,1073.0
177.71,177.85,177.66,177.81,1985.0
177.85,178.0,177.8,177.95,1479.0
177.98,178.05,177.88,177.96,2298.0
177.98,178.03,177.93,178.0,3621.0
178.05,178.05,177.91,177.96,1508.0
177.96,178.01,177.96,177.99,122.0
177.99,178.0,177.96,177.98,279.0
178.0,178.02,177.97,178.0,1152.0
178.0,178.0,177.95,177.96,484.0
177.95,178.16,177.94,178.13,3554.0
178.14,178.49,178.09,178.31,2089.0
178.41,178.48,178.31,178.41,783.0
178.4,178.41,178.3,178.34,683.0
178.33,178.64,178.28,178.47,4375.0
178.44,178.59,178.44,178.56,555.0
178.56,178.58,178.31,178.41,1731.0
178.44,178.45,178.39,178.42,384.0
178.45,178.45,178.3,178.36,810.0
178.3,178.3,178.12,178.12,2879.0
178.15,178.24,178.07,178.16,155.0
178.18,178.35,178.18,178.35,1311.0
178.3,178.42,178.3,178.42,225.0
178.4,178.41,178.27,178.28,816.0
178.33,178.33,178.2,178.2,712.0
178.2,178.25,178.2,178.25,254.0
178.25,178.33,178.13,178.13,1597.0
178.18,178.29,178.1,178.18,879.0
178.15,178.23,178.15,178.19,324.0
178.19,178.27,178.16,178.19,826.0
178.24,178.28,178.21,178.21,1060.0
178.24,178.24,178.19,178.22,362.0
178.22,178.22,178.06,178.08,1350.0
178.06,178.11,177.82,177.82,3838.0
177.87,177.93,177.76,177.76,3124.0
177.79,178.0,177.79,177.95,1394.0
177.96,177.97,177.9,177.97,4682.0
177.95,178.0,177.9,177.92,917.0
177.92,177.92,177.68,177.68,7123.0
177.78,177.84,177.74,177.8,547.0
177.75,177.8,177.74,177.75,814.0
177.78,177.87,177.78,177.78,790.0
177.79,177.84,177.72,177.81,385.0
177.81,177.87,177.8,177.81,1862.0
177.81,177.81,177.62,177.67,5282.0
177.77,177.77,177.67,177.71,116.0
177.71,177.76,177.65,177.65,353.0
177.65,177.78,177.65,177.78,1705.0
177.7,177.78,177.69,177.75,347.0
177.77,177.77,177.66,177.66,332.0
177.68,177.7,177.66,177.69,458.0
177.7,177.7,177.62,177.63,612.0
177.64,177.7,177.62,177.69,918.0
177.69,177.69,177.64,177.65,377.0
177.68,177.69,177.63,177.63,87.0
177.69,177.77,177.68,177.77,605.0
177.76,177.78,177.64,177.72,962.0
177.64,177.74,177.64,177.73,532.0
177.72,177.73,177.66,177.68,370.0
177.7,177.73,177.7,177.73,258.0
177.73,177.75,177.72,177.73,237.0
177.72,177.76,177.7,177.72,719.0
177.72,177.73,177.7,177.7,545.0
177.7,177.73,177.65,177.72,1756.0
177.72,177.72,177.65,177.7,57.0
177.7,177.7,177.65,177.65,472.0
177.66,177.67,177.61,177.67,307.0
177.65,177.67,177.61,177.62,871.0
177.66,177.67,177.6,177.6,1189.0
177.6,177.66,177.6,177.66,468.0
177.66,177.67,177.6,177.63,664.0
177.64,177.68,177.61,177.68,311.0
177.62,177.7,177.62,177.67,78.0
177.69,177.74,177.69,177.69,619.0
177.7,177.74,177.69,177.7,251.0
177.72,177.72,177.69,177.71,227.0
177.7,177.72,177.62,177.69,798.0
177.69,177.72,177.68,177.68,201.0
177.67,177.72,177.66,177.72,210.0
177.72,177.72,177.68,177.7,495.0
177.7,177.74,177.68,177.68,429.0
177.68,177.71,177.68,177.71,116.0
177.7,177.71,177.68,177.71,218.0
177.72,177.74,177.71,177.74,230.0
177.72,177.84,177.71,177.79,2445.0
177.83,177.87,177.8,177.87,550.0
177.82,177.9,177.8,177.87,1583.0
177.85,177.86,177.85,177.85,551.0
